T-1,T-2,T-3,T-4,T-24,T-48,T-72,T-96,DAY,SEASON,TEMP,HUMIDITY,T
4308.588967,3405.876995,3026.176817,2067.349863,5268.759993,5193.824546,5133.008778,5047.660243,0,1,82,44,5042.955993
5042.955993,4308.588967,3405.876995,3026.176817,5551.014992,5185.843256,5487.171599,4872.258922,0,1,82,44,5486.667573
5486.667573,5042.955993,4308.588967,3405.876995,4499.44711,1967.388015,4791.614636,5134.688868,0,1,81,54,4615.877297
4615.877297,5486.667573,5042.955993,4308.588967,4810.935663,1936.793069,4599.74844,4378.480681,0,1,81,54,4749.948422
4749.948422,4615.877297,5486.667573,5042.955993,4791.614636,4918.470037,5429.208519,4092.697494,0,1,81,54,4735.835672
4735.835672,4749.948422,4615.877297,5486.667573,4580.091395,5265.656158,5249.942993,4112.18653,0,1,69,78,4735.835672
4735.835672,4735.835672,4749.948422,4615.877297,4154.020753,5363.426961,5286.232921,3929.896843,0,1,69,78,4521.456279
4521.456279,4735.835672,4735.835672,4749.948422,4868.898743,4455.388933,5190.467832,3929.896843,0,1,69,78,4560.434351
4560.434351,4521.456279,4735.835672,4735.835672,4385.873074,5065.458797,5190.467832,3910.911834,0,1,70,83,4480.462101
4480.462101,4560.434351,4521.456279,4735.835672,4290.612012,4847.636087,5281.528671,3872.941816,0,1,70,83,4202.911351
4202.911351,4480.462101,4560.434351,4521.456279,3152.183513,3229.429515,3245.932495,892.1274095,0,1,70,83,852.4773024
852.4773024,4202.911351,4480.462101,4560.434351,951.6025701,882.9302197,2575.072845,931.7775165,0,1,69,85,832.6522488
832.6522488,852.4773024,4202.911351,4480.462101,832.6522488,902.5508912,2339.356318,911.952463,0,1,69,85,793.0021417
793.0021417,832.6522488,852.4773024,4202.911351,812.8271953,882.9302197,2099.27156,892.1274095,0,1,69,85,733.5269811
733.5269811,793.0021417,832.6522488,852.4773024,654.2267669,686.7235042,2022.155461,793.0021417,0,1,66,88,614.5766598
614.5766598,733.5269811,793.0021417,832.6522488,515.4513921,529.7581318,2022.155461,713.7019276,0,1,66,88,535.2764457
535.2764457,614.5766598,733.5269811,793.0021417,1982.505354,1942.446483,1982.505354,1903.20514,0,1,66,88,535.2764457
535.2764457,535.2764457,614.5766598,733.5269811,1982.505354,1962.680301,1922.825812,1982.505354,0,1,70,87,1946.047417
1946.047417,535.2764457,535.2764457,614.5766598,1987.88164,1962.680301,1922.825812,1982.505354,0,1,70,87,1946.047417
1946.047417,1946.047417,535.2764457,535.2764457,2046.348747,1962.680301,1922.825812,2022.155461,0,1,70,87,1946.047417
1946.047417,1946.047417,1946.047417,535.2764457,2067.349863,1962.680301,1922.825812,2024.675595,0,1,76,63,2104.815854
2104.815854,1946.047417,1946.047417,1946.047417,3026.176817,2923.355353,2758.200844,2604.810425,0,1,76,63,2241.239104
2241.239104,2104.815854,1946.047417,1946.047417,3405.876995,3351.77812,3463.879913,3725.765995,0,1,76,63,3728.958164
3728.958164,2241.239104,2104.815854,1946.047417,4308.588967,4443.500137,4104.877275,4558.418244,0,1,81,48,4922.325582
4922.325582,3728.958164,2241.239104,2104.815854,5042.955993,5268.759993,5193.824546,5133.008778,0,1,81,48,5362.844992
5362.844992,4922.325582,3728.958164,2241.239104,5486.667573,5551.014992,5185.843256,5487.171599,0,1,81,48,5496.916117
5496.916117,5362.844992,4922.325582,3728.958164,4615.877297,4499.44711,1967.388015,4791.614636,0,1,84,32,5496.916117
5496.916117,5496.916117,5362.844992,4922.325582,4749.948422,4810.935663,1936.793069,4599.74844,0,1,84,32,5324.538957
5324.538957,5496.916117,5496.916117,5362.844992,4735.835672,4791.614636,4918.470037,5429.208519,0,1,84,32,4888.21977
4888.21977,5324.538957,5496.916117,5496.916117,4735.835672,4580.091395,5265.656158,5249.942993,0,1,82,71,4695.009502
4695.009502,4888.21977,5324.538957,5496.916117,4521.456279,4154.020753,5363.426961,5286.232921,0,1,82,71,4695.009502
4695.009502,4695.009502,4888.21977,5324.538957,4560.434351,4868.898743,4455.388933,5190.467832,0,1,82,71,4579.083342
4579.083342,4695.009502,4695.009502,4888.21977,4480.462101,4385.873074,5065.458797,5190.467832,0,1,71,82,4501.799235
4501.799235,4579.083342,4695.009502,4695.009502,4202.911351,4290.612012,4847.636087,5281.528671,0,1,71,82,3806.41028
3806.41028,4501.799235,4579.083342,4695.009502,852.4773024,3152.183513,3229.429515,3245.932495,0,1,71,82,812.8271953
812.8271953,3806.41028,4501.799235,4579.083342,832.6522488,951.6025701,882.9302197,2575.072845,0,1,69,88,832.6522488
832.6522488,812.8271953,3806.41028,4501.799235,793.0021417,832.6522488,902.5508912,2339.356318,0,1,69,88,773.1770882
773.1770882,832.6522488,812.8271953,3806.41028,733.5269811,812.8271953,882.9302197,2099.27156,0,1,69,88,693.876874
693.876874,773.1770882,832.6522488,812.8271953,614.5766598,654.2267669,686.7235042,2022.155461,0,1,64,86,555.1014992
555.1014992,693.876874,773.1770882,832.6522488,535.2764457,515.4513921,529.7581318,2022.155461,0,1,64,86,555.1014992
555.1014992,555.1014992,693.876874,773.1770882,535.2764457,1982.505354,1942.446483,1982.505354,0,1,64,86,555.1014992
555.1014992,555.1014992,555.1014992,693.876874,1946.047417,1982.505354,1962.680301,1922.825812,0,1,67,88,2005.018551
2005.018551,555.1014992,555.1014992,555.1014992,1946.047417,1987.88164,1962.680301,1922.825812,0,1,67,88,2005.018551
2005.018551,2005.018551,555.1014992,555.1014992,1946.047417,2046.348747,1962.680301,1922.825812,0,1,67,88,1987.88164
1987.88164,2005.018551,2005.018551,555.1014992,2104.815854,2067.349863,1962.680301,1922.825812,0,1,80,45,1987.88164
1987.88164,1987.88164,2005.018551,2005.018551,2241.239104,3026.176817,2923.355353,2758.200844,0,1,80,45,2317.515157
2317.515157,1987.88164,1987.88164,2005.018551,3728.958164,3405.876995,3351.77812,3463.879913,0,1,80,45,3436.286611
